ID  ,Compound                                                  ,Class   ,CAS       ,Mass ,CP-Wax,CW-20M,DB-1701,DB-Wax,DB1,HP1,OV-101,OV-1701,SE5,SP-Wax,SP-Wax10,SPB-1,Odour       ,almond,burnt,ID <Link>                                               
1   ,"2,3-pentanedione"                                        ,        ,          ,100  ,1053  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""\r""burnt""",1     ,1    ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=1  
2   ,thiazole                                                  ,        ,          ,85   ,1248  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=2  
3   ,pyridine                                                  ,        ,          ,79   ,1215  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=3  
4   ,dimethyl disulfide (methyldithiomethane)                  ,        ,          ,94   ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=4  
5   ,pentanol                                                  ,        ,          ,88   ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=5  
6   ,2-methylthiophene                                         ,        ,          ,98   ,1089  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=6  
7   ,3-methylthiophene                                         ,        ,          ,98   ,1116  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=7  
8   ,"2,3-hexanedione"                                         ,        ,          ,114  ,1125  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=8  
9   ,"3,4-hexanedione"                                         ,        ,          ,114  ,1133  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=9  
10  ,hexanal                                                   ,        ,          ,100  ,1089  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=10 
11  ,2-ethyl-5-methylfuran                                     ,        ,          ,110  ,      ,1018  ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=11 
12  ,furfural (2-furaldehyde)                                  ,        ,          ,96   ,1455  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""",1     ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=12 
13  ,4-methyl-4-mercapto-2-pentanone                           ,        ,          ,132  ,1376  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=13 
14  ,2-furylmethanol                                           ,        ,          ,98   ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""burnt""" ,      ,1    ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=14 
15  ,2-ethylthiophene                                          ,        ,          ,112  ,1161  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=15 
16  ,1-hexanol                                                 ,        ,          ,102  ,1357  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=16 
17  ,2-methyl-3-furanthiol                                     ,        ,          ,114  ,1295  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=17 
18  ,"2,5-dimethylthiophene"                                   ,        ,          ,112  ,1153  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=18 
19  ,2-butylfuran                                              ,        ,          ,124  ,1122  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=19 
20  ,2-acetylfuran                                             ,        ,          ,110  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=20 
21  ,2-methyl-3-(methylthio)furan                              ,        ,          ,128  ,1333  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=21 
22  ,3-methyl-2-cyclopenten-1-one                              ,        ,          ,96   ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=22 
23  ,2-propylthiophene                                         ,        ,          ,126  ,1239  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=23 
24  ,5-methylfurfural                                          ,        ,          ,110  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,"""almond""\r""burnt""",1     ,1    ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=24 
25  ,heptanol                                                  ,        ,          ,116  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=25 
26  ,2-ethyl-5-methylthiophene                                 ,        ,          ,126  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=26 
27  ,5-methyl-2-furanthiol                                     ,        ,          ,114  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=27 
28  ,1-octen-3-ol                                              ,        ,          ,128  ,1451  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=28 
29  ,2-pentylfuran                                             ,        ,          ,138  ,1219  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=29 
30  ,2-formylthiophene                                         ,        ,          ,112  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=30 
31  ,benzofuran                                                ,        ,          ,118  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=31 
32  ,2-[(methylthio)methyl]furan (2-furfurylmethyl sulfide)    ,        ,          ,128  ,1473  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=32 
33  ,2-formyl-1-methylpyrrole                                  ,        ,          ,109  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=33 
34  ,5-methyl-2-ethylpyridine                                  ,        ,          ,121  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=34 
